(n = 1, r = 2, j = 1, k = 1): 2 possible binary strings.
(n = 1, r = 2, j = 11, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 12, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 12, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 12, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 12, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 12, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 13, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 13, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 13, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 13, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 13, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 14, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 14, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 14, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 14, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 14, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 15, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 15, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 15, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 15, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 15, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 16, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 16, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 16, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 16, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 16, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 17, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 17, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 17, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 17, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 17, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 18, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 18, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 18, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 18, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 18, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 19, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 19, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 19, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 19, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 19, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 20, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 20, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 20, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 20, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 20, k = 5): 0 possible binary strings.
(n = 1, r = 2, j = 21, k = 1): 0 possible binary strings.
(n = 1, r = 2, j = 21, k = 2): 0 possible binary strings.
(n = 1, r = 2, j = 21, k = 3): 0 possible binary strings.
(n = 1, r = 2, j = 21, k = 4): 0 possible binary strings.
(n = 1, r = 2, j = 21, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 1, k = 1): 3 possible binary strings.
(n = 1, r = 3, j = 1, k = 2): 3 possible binary strings.
(n = 1, r = 3, j = 1, k = 3): 3 possible binary strings.
(n = 1, r = 3, j = 1, k = 4): 3 possible binary strings.
(n = 1, r = 3, j = 1, k = 5): 3 possible binary strings.
(n = 1, r = 3, j = 2, k = 1): 3 possible binary strings.
(n = 1, r = 3, j = 2, k = 2): 3 possible binary strings.
(n = 1, r = 3, j = 2, k = 3): 3 possible binary strings.
(n = 1, r = 3, j = 2, k = 4): 3 possible binary strings.
(n = 1, r = 3, j = 2, k = 5): 3 possible binary strings.
(n = 1, r = 3, j = 3, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 3, k = 2): 1 possible binary strings.
(n = 1, r = 3, j = 3, k = 3): 1 possible binary strings.
(n = 1, r = 3, j = 3, k = 4): 1 possible binary strings.
(n = 1, r = 3, j = 3, k = 5): 1 possible binary strings.
(n = 1, r = 3, j = 4, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 4, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 4, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 4, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 4, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 5, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 5, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 5, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 5, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 5, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 6, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 6, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 6, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 6, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 6, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 7, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 7, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 7, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 7, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 7, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 8, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 8, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 8, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 8, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 8, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 9, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 9, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 9, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 9, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 9, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 10, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 10, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 10, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 10, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 10, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 11, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 11, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 11, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 11, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 11, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 12, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 12, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 12, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 12, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 12, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 13, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 13, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 13, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 13, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 13, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 14, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 14, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 14, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 14, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 14, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 15, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 15, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 15, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 15, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 15, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 16, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 16, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 16, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 16, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 16, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 17, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 17, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 17, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 17, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 17, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 18, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 18, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 18, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 18, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 18, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 19, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 19, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 19, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 19, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 19, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 20, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 20, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 20, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 20, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 20, k = 5): 0 possible binary strings.
(n = 1, r = 3, j = 21, k = 1): 0 possible binary strings.
(n = 1, r = 3, j = 21, k = 2): 0 possible binary strings.
(n = 1, r = 3, j = 21, k = 3): 0 possible binary strings.
(n = 1, r = 3, j = 21, k = 4): 0 possible binary strings.
(n = 1, r = 3, j = 21, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 1, k = 1): 4 possible binary strings.
(n = 1, r = 4, j = 1, k = 2): 4 possible binary strings.
(n = 1, r = 4, j = 1, k = 3): 4 possible binary strings.
(n = 1, r = 4, j = 1, k = 4): 4 possible binary strings.
(n = 1, r = 4, j = 1, k = 5): 4 possible binary strings.
(n = 1, r = 4, j = 2, k = 1): 6 possible binary strings.
(n = 1, r = 4, j = 2, k = 2): 6 possible binary strings.
(n = 1, r = 4, j = 2, k = 3): 6 possible binary strings.
(n = 1, r = 4, j = 2, k = 4): 6 possible binary strings.
(n = 1, r = 4, j = 2, k = 5): 6 possible binary strings.
(n = 1, r = 4, j = 3, k = 1): 4 possible binary strings.
(n = 1, r = 4, j = 3, k = 2): 4 possible binary strings.
(n = 1, r = 4, j = 3, k = 3): 4 possible binary strings.
(n = 1, r = 4, j = 3, k = 4): 4 possible binary strings.
(n = 1, r = 4, j = 3, k = 5): 4 possible binary strings.
(n = 1, r = 4, j = 4, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 4, k = 2): 1 possible binary strings.
(n = 1, r = 4, j = 4, k = 3): 1 possible binary strings.
(n = 1, r = 4, j = 4, k = 4): 1 possible binary strings.
(n = 1, r = 4, j = 4, k = 5): 1 possible binary strings.
(n = 1, r = 4, j = 5, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 5, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 5, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 5, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 5, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 6, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 6, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 6, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 6, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 6, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 7, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 7, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 7, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 7, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 7, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 8, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 8, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 8, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 8, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 8, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 9, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 9, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 9, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 9, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 9, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 10, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 10, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 10, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 10, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 10, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 11, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 11, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 11, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 11, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 11, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 12, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 12, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 12, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 12, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 12, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 13, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 13, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 13, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 13, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 13, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 14, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 14, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 14, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 14, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 14, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 15, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 15, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 15, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 15, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 15, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 16, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 16, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 16, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 16, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 16, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 17, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 17, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 17, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 17, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 17, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 18, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 18, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 18, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 18, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 18, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 19, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 19, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 19, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 19, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 19, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 20, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 20, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 20, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 20, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 20, k = 5): 0 possible binary strings.
(n = 1, r = 4, j = 21, k = 1): 0 possible binary strings.
(n = 1, r = 4, j = 21, k = 2): 0 possible binary strings.
(n = 1, r = 4, j = 21, k = 3): 0 possible binary strings.
(n = 1, r = 4, j = 21, k = 4): 0 possible binary strings.
(n = 1, r = 4, j = 21, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 1, k = 1): 5 possible binary strings.
(n = 1, r = 5, j = 1, k = 2): 5 possible binary strings.
(n = 1, r = 5, j = 1, k = 3): 5 possible binary strings.
(n = 1, r = 5, j = 1, k = 4): 5 possible binary strings.
(n = 1, r = 5, j = 1, k = 5): 5 possible binary strings.
(n = 1, r = 5, j = 2, k = 1): 10 possible binary strings.
(n = 1, r = 5, j = 2, k = 2): 10 possible binary strings.
(n = 1, r = 5, j = 2, k = 3): 10 possible binary strings.
(n = 1, r = 5, j = 2, k = 4): 10 possible binary strings.
(n = 1, r = 5, j = 2, k = 5): 10 possible binary strings.
(n = 1, r = 5, j = 3, k = 1): 10 possible binary strings.
(n = 1, r = 5, j = 3, k = 2): 10 possible binary strings.
(n = 1, r = 5, j = 3, k = 3): 10 possible binary strings.
(n = 1, r = 5, j = 3, k = 4): 10 possible binary strings.
(n = 1, r = 5, j = 3, k = 5): 10 possible binary strings.
(n = 1, r = 5, j = 4, k = 1): 5 possible binary strings.
(n = 1, r = 5, j = 4, k = 2): 5 possible binary strings.
(n = 1, r = 5, j = 4, k = 3): 5 possible binary strings.
(n = 1, r = 5, j = 4, k = 4): 5 possible binary strings.
(n = 1, r = 5, j = 4, k = 5): 5 possible binary strings.
(n = 1, r = 5, j = 5, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 5, k = 2): 1 possible binary strings.
(n = 1, r = 5, j = 5, k = 3): 1 possible binary strings.
(n = 1, r = 5, j = 5, k = 4): 1 possible binary strings.
(n = 1, r = 5, j = 5, k = 5): 1 possible binary strings.
(n = 1, r = 5, j = 6, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 6, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 6, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 6, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 6, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 7, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 7, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 7, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 7, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 7, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 8, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 8, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 8, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 8, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 8, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 9, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 9, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 9, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 9, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 9, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 10, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 10, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 10, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 10, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 10, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 11, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 11, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 11, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 11, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 11, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 12, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 12, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 12, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 12, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 12, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 13, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 13, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 13, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 13, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 13, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 14, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 14, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 14, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 14, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 14, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 15, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 15, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 15, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 15, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 15, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 16, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 16, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 16, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 16, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 16, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 17, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 17, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 17, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 17, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 17, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 18, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 18, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 18, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 18, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 18, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 19, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 19, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 19, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 19, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 19, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 20, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 20, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 20, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 20, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 20, k = 5): 0 possible binary strings.
(n = 1, r = 5, j = 21, k = 1): 0 possible binary strings.
(n = 1, r = 5, j = 21, k = 2): 0 possible binary strings.
(n = 1, r = 5, j = 21, k = 3): 0 possible binary strings.
(n = 1, r = 5, j = 21, k = 4): 0 possible binary strings.
(n = 1, r = 5, j = 21, k = 5): 0 possible binary strings.
(n = 2, r = 2, j = 1, k = 1): 3 possible binary strings.
(n = 2, r = 2, j = 1, k = 2): 3 possible binary strings.
(n = 2, r = 2, j = 1, k = 3): 3 possible binary strings.
(n = 2, r = 2, j = 1, k = 4): 3 possible binary strings.
(n = 2, r = 2, j = 1, k = 5): 3 possible binary strings.
(n = 2, r = 2, j = 2, k = 1): 1 possible binary strings.
(n = 2, r = 2, j = 2, k = 2): 3 possible binary strings.
(n = 2, r = 2, j = 2, k = 3): 3 possible binary strings.
(n = 2, r = 2, j = 2, k = 4): 3 possible binary strings.
(n = 2, r = 2, j = 2, k = 5): 3 possible binary strings.
(n = 2, r = 2, j = 3, k = 1): 0 possible binary strings.
(n = 2, r = 2, j = 3, k = 2): 0 possible binary strings.
(n = 2, r = 2, j = 3, k = 3): 1 possible binary strings.
(n = 2, r = 2, j = 3, k = 4): 1 possible binary strings.
(n = 2, r = 2, j = 3, k = 5): 1 possible binary strings.
(n = 2, r = 2, j = 4, k = 1): 0 possible binary strings.
